"SYMBOL ","SERIES ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","INDICATIVE CLOSE ","CHNG ","%CHNG ","VOLUME ","VALUE  (₹ Crores)","52W H ","52W L ","30D  %CHNG ","365 D   %CHNG "
"ADISOFT","ST","237.30","237.30","226.00","226.00","236.00","-","10.00","4.42","7,55,200","17.79","237.30","205.00",0,"-"
"AMBAAUTO","ST","134.50","135.00","127.80","135.00","132.25","-","-2.25","-1.67","6,71,000","9.00","135.00","127.80",0,"-"
"KRMAYURVED","SM","237.10","263.50","237.10","243.40","253.50","-","10.10","4.15","2,96,000","7.34","263.50","156.15",28.78,"-"
"ORIANA","SM","2,043.00","2,097.95","2,022.00","2,069.05","2,022.00","-","-47.05","-2.27","27,150","5.58","3,064.00","1,286.20",14.22,"42.61"
"MONOLITH","SM","588.90","598.00","565.00","558.50","568.00","-","9.50","1.70","71,000","4.12","607.40","219.45",33.02,"-"
"AIMTRON","SM","1,112.00","1,152.00","1,101.00","1,113.95","1,116.45","-","2.50","0.22","21,600","2.43","1,239.90","477.10",29.34,"108.68"
"YAAP","ST","200.00","205.95","200.00","196.15","205.95","-","9.80","5.00","1,16,000","2.37","208.80","127.00",18.34,"-"
"FLYSBS","SM","444.80","465.00","440.60","445.00","447.05","-","2.05","0.46","47,800","2.17","790.00","355.25",12.01,"-"
"AVPINFRA","SM","91.40","91.70","89.40","93.85","89.85","-","-4.00","-4.26","2,28,000","2.05","218.00","77.00",-0.9,"-45.81"
"SHERA","SM","158.10","169.70","158.10","157.45","163.50","-","6.05","3.84","1,21,000","2.01","172.90","94.95",48.75,"7.18"
"DPEL","SM","515.70","519.00","502.00","515.70","504.00","-","-11.70","-2.27","39,000","1.99","521.90","123.00",23.95,"269.68"
"IWARE","ST","389.00","389.00","355.00","370.55","365.50","-","-5.05","-1.36","50,400","1.91","389.00","70.05",64.69,"-"
"VIESL","SM","314.95","328.45","313.00","300.30","326.00","-","25.70","8.56","58,400","1.88","328.45","127.00",19.17,"113.58"
"DANISH","SM","927.95","928.00","875.05","913.05","894.95","-","-18.10","-1.98","20,400","1.83","1,189.00","550.50",50.57,"1.82"
"ALPEXSOLAR","SM","1,095.00","1,104.90","1,085.00","1,083.75","1,087.00","-","3.25","0.30","15,100","1.65","1,449.70","660.00",25.89,"44.38"
"VMARCIND","SM","970.00","970.00","957.10","969.15","958.00","-","-11.15","-1.15","15,750","1.52","1,030.00","271.35",52.02,"280.58"
"SUNLITE","ST","499.90","499.90","470.00","488.80","482.90","-","-5.90","-1.21","30,900","1.49","583.55","112.00",32.47,"340.36"
"PRIZOR","ST","693.10","693.10","662.10","696.90","688.80","-","-8.10","-1.16","21,600","1.45","735.00","133.10",63.82,"420.07"
"BAHETI","SM","623.00","623.00","603.00","617.75","614.00","-","-3.75","-0.61","20,250","1.24","649.90","478.00",17.36,"-0.23"
"NAMOEWASTE","SM","229.10","229.10","220.60","224.75","224.05","-","-0.70","-0.31","53,600","1.20","229.90","127.00",52.27,"43.70"
"UTSSAV","SM","244.00","253.25","242.00","245.10","253.15","-","8.05","3.28","47,400","1.18","281.00","160.05",25.18,"7.76"
"PRAMARA","SM","345.00","349.80","342.15","346.65","342.50","-","-4.15","-1.20","33,000","1.14","374.80","150.25",-1.92,"123.00"
"SAAKSHI","SM","252.00","252.00","245.00","249.65","250.95","-","1.30","0.52","44,400","1.11","252.00","118.00",37.43,"74.58"
"ANLON","SM","580.05","615.50","580.05","580.20","603.00","-","22.80","3.93","16,800","1.01","615.50","335.00",56.81,"63.44"
"EFFWA","SM","270.00","282.00","270.00","269.75","273.35","-","3.60","1.33","36,000","1.00","282.00","165.00",29.81,"24.88"
"BRANDMAN","ST","194.90","203.10","194.90","193.45","203.10","-","9.65","4.99","48,800","0.97","243.80","109.35",42.61,"-"
"PARIN","SM","631.10","631.20","620.15","629.45","626.95","-","-2.50","-0.40","15,000","0.94","725.00","311.65",1.75,"72.93"
"OWAIS","SM","189.20","189.20","183.80","180.20","189.20","-","9.00","4.99","48,900","0.92","707.90","88.10",64.57,"-69.09"
"VILAS","SM","424.90","430.90","418.00","421.70","424.10","-","2.40","0.57","20,250","0.86","673.70","314.50",9.32,"22.91"
"KANDARP","SM","156.00","156.10","150.00","155.75","150.00","-","-5.75","-3.69","53,000","0.82","169.00","70.30",12.05,"65.69"
"C2C","SM","466.30","466.30","456.00","462.65","458.75","-","-3.90","-0.84","17,700","0.81","888.00","310.00",14.49,"11.62"
"AKIKO","ST","255.00","255.75","255.00","243.60","255.75","-","12.15","4.99","31,200","0.80","299.30","62.00",21.8,"220.53"
"JAYESH","SM","200.00","200.00","184.00","185.80","193.70","-","7.90","4.25","42,000","0.79","200.00","106.35",25.54,"-"
"INFLUX","SM","281.05","288.00","280.00","280.40","280.60","-","0.20","0.07","28,200","0.79","290.00","120.00",30.24,"-"
"VOLERCAR","SM","274.95","274.95","264.80","258.15","269.60","-","11.45","4.44","29,600","0.79","276.05","81.45",13.7,"146.68"
"TECHERA","SM","224.00","224.75","212.85","220.45","218.40","-","-2.05","-0.93","36,000","0.79","325.70","115.60",13.17,"80.70"
"DENTALKART","SM","423.10","435.00","420.00","430.20","422.20","-","-8.00","-1.86","17,750","0.76","690.00","322.50",15.34,"-31.57"
"GGBL","SM","347.95","348.00","330.35","349.50","335.50","-","-14.00","-4.01","21,000","0.71","555.00","215.00",39.33,"-11.50"
"MAXVOLT","SM","423.00","423.00","410.00","408.65","413.00","-","4.35","1.06","16,800","0.70","509.00","175.60",39.14,"92.53"
"UNIHEALTH","ST","472.10","476.00","458.80","482.65","469.90","-","-12.75","-2.64","15,000","0.70","529.80","133.65",22.52,"198.95"
"SSEGL","SM","388.80","402.00","388.80","388.80","392.20","-","3.40","0.87","17,600","0.70","580.00","283.00",13.93,"-21.51"
"SPEB","SM","54.95","55.00","54.95","54.75","55.00","-","0.25","0.46","1,24,000","0.68","60.00","46.55",7.14,"-"
"PATILAUTOM","SM","179.00","181.00","178.00","177.95","181.00","-","3.05","1.71","36,600","0.66","268.90","112.05",32.4,"-"
